                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                 1.3485,                  1.295,                 1.4436,                0.55914,                0.23529,                0.23527,                 0.1112,                 1.3867,                 1.2698,                 1.9908,             0.00021957,             0.00021957,             0.00021957
                     19,                 1.3459,                 1.3303,                 1.4312,                0.59279,                0.35294,                0.34851,                0.18079,                 1.3669,                 1.1629,                 2.0923,             0.00021466,             0.00021466,             0.00021466
                     20,                  1.243,                 1.1975,                 1.3747,                0.59279,                0.35294,                0.34851,                0.18079,                 1.3669,                 1.1629,                 2.0923,             0.00020788,             0.00020788,             0.00020788
                     21,                  1.214,                 1.2123,                   1.53,                0.63046,                0.35294,                 0.3592,                0.19181,                 1.3323,                 1.0891,                 2.0983,              0.0001992,              0.0001992,              0.0001992
                     22,                 1.1609,                 1.2177,                 1.5609,                0.63046,                0.35294,                 0.3592,                0.19181,                 1.3323,                 1.0891,                 2.0983,             0.00018864,             0.00018864,             0.00018864
                     23,                 1.1992,                 1.2418,                 1.5839,                0.96186,                0.35294,                0.36628,                0.19761,                 1.3132,                 1.0354,                 2.0818,              0.0001762,              0.0001762,              0.0001762
                     24,                 1.1446,                 1.2181,                  1.429,                0.96186,                0.35294,                0.36628,                0.19761,                 1.3132,                 1.0354,                 2.0818,             0.00016186,             0.00016186,             0.00016186
                     25,                 1.1722,                  1.139,                 1.4753,                0.95621,                0.23529,                0.24744,                0.12355,                 1.3108,                 1.0027,                 2.0716,             0.00014564,             0.00014564,             0.00014564
                     26,                 1.1576,                 1.0565,                 1.5462,                0.95621,                0.23529,                0.24744,                0.12355,                 1.3108,                 1.0027,                 2.0716,             0.00012754,             0.00012754,             0.00012754
                     27,                 1.1018,                 1.0462,                 1.4884,                0.95621,                0.23529,                0.24744,                0.12355,                 1.3108,                 1.0027,                 2.0716,             0.00010755,             0.00010755,             0.00010755
                     28,                 1.1303,                 1.0608,                 1.4613,                0.96478,                0.23529,                0.24677,                0.12318,                 1.3065,                0.97992,                 2.0651,             8.5669e-05,             8.5669e-05,             8.5669e-05
                     29,                 1.2181,                 1.1202,                 1.4734,                0.96478,                0.23529,                0.24677,                0.12318,                 1.3065,                0.97992,                 2.0651,             6.1904e-05,             6.1904e-05,             6.1904e-05
                     30,                 1.1568,                  1.049,                 1.5256,                0.96666,                0.23529,                0.24589,                0.12788,                 1.2987,                0.96023,                 2.0644,             3.6254e-05,             3.6254e-05,             3.6254e-05
                      1,                 3.6209,                 4.2873,                 2.7045,                 0.0117,                0.11765,                0.00808,                0.00218,                 4.0417,                 4.2697,                  2.614,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 3.2229,                 3.9702,                 2.6102,                 0.0112,                0.11765,                0.00826,                0.00299,                 4.0224,                 4.1686,                 2.5443,             3.8626e-05,             3.8626e-05,             3.8626e-05
                      3,                 3.2517,                 3.9255,                 2.3368,                0.01093,                0.05882,                0.00761,                0.00233,                  3.777,                 3.9406,                 2.4135,             5.7303e-05,             5.7303e-05,             5.7303e-05
                      4,                 2.7851,                 3.9165,                 2.0632,                0.00508,                0.02941,                0.00606,                0.00061,                 3.4112,                 3.6783,                 2.2617,             7.0321e-05,             7.0321e-05,             7.0321e-05
                      5,                 2.4736,                 3.3623,                  1.861,                0.00976,                0.05882,                0.01563,                0.00379,                 3.0516,                 3.5497,                 2.1868,              7.768e-05,              7.768e-05,              7.768e-05
                      6,                 2.1233,                 3.0572,                 1.6797,                0.00937,                0.11765,                0.03203,                0.01027,                 2.6128,                 3.3756,                 2.1405,             7.9381e-05,             7.9381e-05,             7.9381e-05
                      7,                 2.1885,                 3.0958,                 1.6939,                0.01379,                0.17647,                0.14641,                0.03416,                  2.349,                 3.0829,                 2.0267,             7.5423e-05,             7.5423e-05,             7.5423e-05
                      8,                 1.9986,                 2.8672,                 1.5562,                0.01835,                0.23529,                0.17512,                0.05864,                 2.1089,                 2.8343,                 1.8857,             6.5805e-05,             6.5805e-05,             6.5805e-05
                      9,                 1.8398,                 2.6917,                 1.5613,                0.09786,                0.23529,                0.17872,                0.07607,                 1.9253,                 2.6536,                 1.7712,             5.0529e-05,             5.0529e-05,             5.0529e-05
                     10,                 1.6873,                 2.5512,                 1.5979,                0.19348,                0.23529,                0.17024,                0.07846,                  1.854,                 2.5647,                 1.7277,             2.9595e-05,             2.9595e-05,             2.9595e-05
                      1,                 3.4764,                 4.3259,                 2.5136,                0.01183,                0.05882,                0.00694,                0.00208,                 4.0563,                 4.2789,                 2.6489,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                  3.291,                 3.8276,                 2.2532,                0.01176,                0.05882,                0.00743,                0.00223,                 3.7682,                 4.1988,                 2.5652,             4.0748e-05,             4.0748e-05,             4.0748e-05
                      3,                 3.0741,                 3.8776,                 2.2581,                0.01902,                0.20588,                0.02575,                0.00656,                  3.745,                 3.8898,                 2.5706,             6.4376e-05,             6.4376e-05,             6.4376e-05
                      4,                 2.8284,                 3.6925,                 2.0677,                0.01527,                0.17647,                  0.064,                0.02274,                 3.0488,                   3.63,                 2.3235,             8.5176e-05,             8.5176e-05,             8.5176e-05
                      5,                 2.5182,                 3.5104,                 1.9957,                0.01703,                0.20588,                0.08379,                0.03372,                 2.7105,                 3.2491,                 2.1559,             0.00010315,             0.00010315,             0.00010315
                      6,                 2.1617,                 3.1193,                 1.7156,                0.01914,                0.23529,                0.15361,                0.05094,                 2.2421,                 2.8765,                 1.8689,             0.00011829,             0.00011829,             0.00011829
                      7,                  2.145,                 3.1262,                 1.7515,                0.17757,                0.23529,                0.14594,                0.06236,                 1.9773,                 2.5167,                 1.6887,              0.0001306,              0.0001306,              0.0001306
                      8,                 2.1105,                 2.8862,                 1.7805,                0.29042,                0.23529,                0.15749,                0.07409,                 1.9181,                 2.3679,                 1.6604,             0.00014008,             0.00014008,             0.00014008
